LeftTorque:986.364 ,RightTorque:1000.09
LeftTorque:-999.991 ,RightTorque:-853.378
LeftTorque:968.756 ,RightTorque:1000.08
LeftTorque:-999.992 ,RightTorque:-1000.12
LeftTorque:997.685 ,RightTorque:1000.09
LeftTorque:-999.991 ,RightTorque:-814.278
LeftTorque:951.676 ,RightTorque:1000.08
LeftTorque:-999.993 ,RightTorque:-1000.12
LeftTorque:999.984 ,RightTorque:1000.09
LeftTorque:-999.992 ,RightTorque:-893.969
LeftTorque:976.543 ,RightTorque:1000.08
LeftTorque:-999.993 ,RightTorque:-976.105
LeftTorque:988.758 ,RightTorque:1000.09
LeftTorque:-999.991 ,RightTorque:-829.086
LeftTorque:969.164 ,RightTorque:1000.08
LeftTorque:-999.993 ,RightTorque:-1000.11
LeftTorque:999.567 ,RightTorque:1000.09
LeftTorque:-999.992 ,RightTorque:-886.102
LeftTorque:953.872 ,RightTorque:1000.08
LeftTorque:-999.993 ,RightTorque:-999.117
LeftTorque:999.984 ,RightTorque:1000.09
LeftTorque:-999.992 ,RightTorque:-795.834
LeftTorque:981.498 ,RightTorque:1000.08
LeftTorque:-999.993 ,RightTorque:-1000.11
LeftTorque:980.726 ,RightTorque:1000.08
LeftTorque:-999.993 ,RightTorque:-964.924
LeftTorque:988.378 ,RightTorque:1000.08
LeftTorque:-999.992 ,RightTorque:-865.879
LeftTorque:974.882 ,RightTorque:1000.08
LeftTorque:-999.993 ,RightTorque:-1000.11
LeftTorque:994.486 ,RightTorque:1000.08
LeftTorque:-999.992 ,RightTorque:-851.086
LeftTorque:966.696 ,RightTorque:1000.07
LeftTorque:-999.993 ,RightTorque:-1000.11
LeftTorque:999.984 ,RightTorque:1000.08
LeftTorque:-999.993 ,RightTorque:-886.28
LeftTorque:967.516 ,RightTorque:1000.07
LeftTorque:-999.994 ,RightTorque:-1000.1
LeftTorque:999.984 ,RightTorque:1000.08
LeftTorque:-999.993 ,RightTorque:-831.455
LeftTorque:970.048 ,RightTorque:1000.07
LeftTorque:-999.994 ,RightTorque:-1000.1
LeftTorque:999.984 ,RightTorque:1000.08
LeftTorque:-999.994 ,RightTorque:-937.963
LeftTorque:965.63 ,RightTorque:1000.07
LeftTorque:-999.994 ,RightTorque:-933.427
LeftTorque:999.984 ,RightTorque:1000.07
LeftTorque:-999.994 ,RightTorque:-941.3
LeftTorque:976.419 ,RightTorque:1000.07
LeftTorque:-999.994 ,RightTorque:-930.32
LeftTorque:999.984 ,RightTorque:1000.07
LeftTorque:-999.994 ,RightTorque:-950.872
LeftTorque:960.792 ,RightTorque:1000.07
LeftTorque:-999.994 ,RightTorque:-917.003
LeftTorque:999.984 ,RightTorque:1000.07
LeftTorque:-999.994 ,RightTorque:-978.111
LeftTorque:987.907 ,RightTorque:1000.07
LeftTorque:-999.994 ,RightTorque:-870.96
LeftTorque:986.018 ,RightTorque:1000.07
LeftTorque:-999.995 ,RightTorque:-1000.09
LeftTorque:983.351 ,RightTorque:1000.07
LeftTorque:-999.994 ,RightTorque:-900.466
LeftTorque:994.112 ,RightTorque:1000.07
LeftTorque:-999.995 ,RightTorque:-1000.09
LeftTorque:971.304 ,RightTorque:1000.07
LeftTorque:-999.994 ,RightTorque:-854.96
LeftTorque:999.985 ,RightTorque:1000.07
LeftTorque:-999.995 ,RightTorque:-1000.09
LeftTorque:977.157 ,RightTorque:1000.07
LeftTorque:-999.995 ,RightTorque:-943.497
LeftTorque:999.984 ,RightTorque:1000.07
LeftTorque:-999.995 ,RightTorque:-945.471
LeftTorque:971.561 ,RightTorque:1000.06
LeftTorque:-999.995 ,RightTorque:-944.526
LeftTorque:999.984 ,RightTorque:1000.07
LeftTorque:-999.995 ,RightTorque:-946.061
LeftTorque:980.451 ,RightTorque:1000.06
LeftTorque:-999.995 ,RightTorque:-946.348
LeftTorque:999.984 ,RightTorque:1000.06
LeftTorque:-999.995 ,RightTorque:-946.176
LeftTorque:968.043 ,RightTorque:1000.06
LeftTorque:-999.995 ,RightTorque:-949.772
LeftTorque:999.984 ,RightTorque:1000.06
LeftTorque:-999.995 ,RightTorque:-942.77
LeftTorque:990.148 ,RightTorque:1000.06
LeftTorque:-999.996 ,RightTorque:-958.269
LeftTorque:985.642 ,RightTorque:1000.06
LeftTorque:-999.996 ,RightTorque:-931.682
LeftTorque:994.587 ,RightTorque:1000.06
LeftTorque:-999.996 ,RightTorque:-980.805
LeftTorque:977.193 ,RightTorque:1000.06
LeftTorque:-999.996 ,RightTorque:-894.361
LeftTorque:999.985 ,RightTorque:1000.06
LeftTorque:-999.996 ,RightTorque:-1000.08
LeftTorque:978.752 ,RightTorque:1000.06
LeftTorque:-999.996 ,RightTorque:-913.514
LeftTorque:999.985 ,RightTorque:1000.06
LeftTorque:-999.996 ,RightTorque:-1000.08
LeftTorque:978.322 ,RightTorque:1000.06
LeftTorque:-999.996 ,RightTorque:-885.164
LeftTorque:999.985 ,RightTorque:1000.06
LeftTorque:-999.996 ,RightTorque:-1000.08
LeftTorque:981.106 ,RightTorque:1000.06
LeftTorque:-999.996 ,RightTorque:-941.965
LeftTorque:999.985 ,RightTorque:1000.06
LeftTorque:-999.996 ,RightTorque:-973.987
LeftTorque:978.072 ,RightTorque:1000.05
LeftTorque:-999.996 ,RightTorque:-918.534
LeftTorque:999.985 ,RightTorque:1000.05
LeftTorque:-999.997 ,RightTorque:-1000.07
LeftTorque:982.9 ,RightTorque:1000.05
LeftTorque:-999.997 ,RightTorque:-892.232
LeftTorque:999.985 ,RightTorque:1000.05
LeftTorque:-999.997 ,RightTorque:-1000.07
LeftTorque:978.211 ,RightTorque:1000.05
LeftTorque:-999.997 ,RightTorque:-945.802
LeftTorque:999.985 ,RightTorque:1000.05
LeftTorque:-999.997 ,RightTorque:-974.932
LeftTorque:987.008 ,RightTorque:1000.05
LeftTorque:-999.997 ,RightTorque:-924.302
LeftTorque:999.937 ,RightTorque:1000.05
LeftTorque:-999.997 ,RightTorque:-1000.07
LeftTorque:972.676 ,RightTorque:1000.05
LeftTorque:-999.997 ,RightTorque:-898.278
LeftTorque:999.985 ,RightTorque:1000.05
LeftTorque:-999.997 ,RightTorque:-1000.07
LeftTorque:998.992 ,RightTorque:1000.05
LeftTorque:-999.997 ,RightTorque:-948.707
LeftTorque:980.615 ,RightTorque:1000.05
LeftTorque:-999.998 ,RightTorque:-978.914
LeftTorque:999.985 ,RightTorque:1000.05
LeftTorque:-999.998 ,RightTorque:-923.245
LeftTorque:988.451 ,RightTorque:1000.05
LeftTorque:-999.998 ,RightTorque:-1000.07
LeftTorque:994.22 ,RightTorque:1000.05
LeftTorque:-999.998 ,RightTorque:-914.304
LeftTorque:991.498 ,RightTorque:1000.05
LeftTorque:-999.998 ,RightTorque:-1000.07
LeftTorque:989.357 ,RightTorque:1000.05
LeftTorque:-999.998 ,RightTorque:-935.483
LeftTorque:999.043 ,RightTorque:1000.05
LeftTorque:-999.998 ,RightTorque:-1000.06
LeftTorque:977.438 ,RightTorque:1000.05
LeftTorque:-999.998 ,RightTorque:-902.131
LeftTorque:999.985 ,RightTorque:1000.05
LeftTorque:-999.998 ,RightTorque:-1000.06
LeftTorque:997.568 ,RightTorque:1000.05
LeftTorque:-999.998 ,RightTorque:-965.325
LeftTorque:984.92 ,RightTorque:1000.04
LeftTorque:-999.998 ,RightTorque:-960.058
